country,width,state,region,index,text,href,url,visible,status,final_url
spain,1440,default,header,0,TiO2 Malaysia home,/,http://127.0.0.1:3029/,True,200,http://127.0.0.1:3029/
spain,1440,default,header,1,Home,/,http://127.0.0.1:3029/,True,200,http://127.0.0.1:3029/
spain,1440,default,header,2,Markets,/markets/,http://127.0.0.1:3029/markets/,True,200,http://127.0.0.1:3029/markets/
spain,1440,default,header,3,Products,/products/,http://127.0.0.1:3029/products/,True,200,http://127.0.0.1:3029/products
spain,1440,default,header,4,Applications,/applications/,http://127.0.0.1:3029/applications/,True,404,http://127.0.0.1:3029/applications
spain,1440,default,header,5,Documents,/documents/,http://127.0.0.1:3029/documents/,True,200,http://127.0.0.1:3029/documents
spain,1440,default,header,6,Resources,/resources/,http://127.0.0.1:3029/resources/,True,200,http://127.0.0.1:3029/resources
spain,1440,default,header,7,About,/about/,http://127.0.0.1:3029/about/,True,200,http://127.0.0.1:3029/about
spain,1440,default,header,8,Request a Quote,/request-a-quote/,http://127.0.0.1:3029/request-a-quote/,True,200,http://127.0.0.1:3029/request-a-quote
spain,1440,default,header,9,Home,/,http://127.0.0.1:3029/,False,200,http://127.0.0.1:3029/
spain,1440,default,header,10,Markets,/markets/,http://127.0.0.1:3029/markets/,False,200,http://127.0.0.1:3029/markets/
spain,1440,default,header,11,Products,/products/,http://127.0.0.1:3029/products/,False,200,http://127.0.0.1:3029/products
spain,1440,default,header,12,Applications,/applications/,http://127.0.0.1:3029/applications/,False,404,http://127.0.0.1:3029/applications
spain,1440,default,header,13,Documents,/documents/,http://127.0.0.1:3029/documents/,False,200,http://127.0.0.1:3029/documents
spain,1440,default,header,14,Resources,/resources/,http://127.0.0.1:3029/resources/,False,200,http://127.0.0.1:3029/resources
spain,1440,default,header,15,About,/about/,http://127.0.0.1:3029/about/,False,200,http://127.0.0.1:3029/about
spain,1440,default,header,16,Request a Quote,/request-a-quote/,http://127.0.0.1:3029/request-a-quote/,False,200,http://127.0.0.1:3029/request-a-quote
spain,1440,default,main,17,Home,/,http://127.0.0.1:3029/,True,200,http://127.0.0.1:3029/
spain,1440,default,main,18,Markets,/markets/,http://127.0.0.1:3029/markets/,True,200,http://127.0.0.1:3029/markets/
spain,1440,default,main,19,European Union,/markets/european-union/,http://127.0.0.1:3029/markets/european-union/,True,200,http://127.0.0.1:3029/markets/european-union/
